"","SampleName","Methods","Nhat","SE_low","SE_high","CI_lb","CI_ub"
"129","107","ACE-1",1239,1146.17402308233,1331.82597691767,942,1137
"130","108","Chao1984",1402,1296.51764979091,1507.48235020909,1225,1643
"131","108","ChaoBunge2002",-2950,-5226.67823959318,-673.321760406821,-530,-10632
"132","108","ACE-1",1811,1647.20821818486,1974.79178181514,1218,1516
"133","109","Chao1984",1074,1007.89387147248,1140.10612852752,964,1226
"134","109","ChaoBunge2002",3163,1439.70975180216,4886.29024819784,1349,9022
"135","109","ACE-1",1307,1207.03686740994,1406.96313259006,984,1191
"136","110","Chao1984",1218,1143.12189076918,1292.87810923082,1092,1388
"137","110","ChaoBunge2002",-373206,-28373502.870444,27627090.870444,-600,-118462902
"138","110","ACE-1",1606,1474.00276260897,1737.99723739103,1145,1401
"139","111","Chao1984",775,717.796269228461,832.203730771539,683,911
"140","111","ChaoBunge2002",5050,-4367.01658801211,14467.0165880121,743,56977
"141","111","ACE-1",966,875.12288410465,1056.87711589535,700,880
"142","112","Chao1984",1141,1077.30817069614,1204.69182930386,1035,1287
"143","112","ChaoBunge2002",4870,877.165543742357,8862.83445625764,1484,20730
"144","112","ACE-1",1460,1351.4596408106,1568.5403591894,1087,1307
"145","113","Chao1984",900,843.661151222836,956.338848777164,808,1031
"146","113","ChaoBunge2002",2133,1236.58741479671,3029.41258520329,1083,4934
"147","113","ACE-1",1084,999.590903379097,1168.4090966209,829,1010
"148","114","Chao1984",1022,964.751458771388,1079.24854122861,926,1153
"149","114","ChaoBunge2002",4635,544.632446017628,8725.36755398237,1334,21425
"150","114","ACE-1",1359,1249.90405952939,1468.09594047061,1003,1225
"151","115","Chao1984",1167,1100.98174895781,1233.01825104219,1056,1317
"152","115","ChaoBunge2002",9598,-6939.45669489442,26135.4566948944,1417,97916
"153","115","ACE-1",1553,1430.88754771326,1675.11245228674,1130,1372
"154","116","Chao1984",916,865.105276820211,966.894723179789,831,1033
"155","116","ChaoBunge2002",2854,1282.44942775269,4425.55057224731,1211,8225
"156","116","ACE-1",1197,1102.48841560456,1291.51158439544,898,1094
"157","117","Chao1984",814,764.878894735376,863.121105264624,734,929
"158","117","ChaoBunge2002",1579,1097.94402997221,2060.05597002779,953,2956
"159","117","ACE-1",974,899.354322380689,1048.64567761931,759,922
"160","118","Chao1984",1037,963.073924176993,1110.92607582301,914,1208
"161","118","ChaoBunge2002",-4150,-9876.24403312656,1576.24403312656,-230,-30146
"162","118","ACE-1",1417,1276.8449817103,1557.1550182897,969,1232
"163","119","Chao1984",758,720.026324907905,795.973675092095,696,847
"164","119","ChaoBunge2002",2194,1062.69201535791,3325.30798464209,982,5988
"165","119","ACE-1",1036,948.750881838904,1123.2491181611,782,964
"166","120","Chao1984",940,872.371130278377,1007.62886972162,829,1098
"167","120","ChaoBunge2002",9690,-18156.3150705423,37536.3150705423,898,182154
"168","120","ACE-1",1174,1066.95648719532,1281.04351280468,846,1058
"169","121","Chao1984",848,794.024673806303,901.975326193697,761,975
"170","121","ChaoBunge2002",2629,872.212871170259,4385.78712882974,974,9114
"171","121","ACE-1",1054,964.74314352208,1143.25685647792,792,976
"172","122","Chao1984",1210,1125.66789420925,1294.33210579075,1069,1402
"173","122","ChaoBunge2002",-16093,-75456.4517454341,43270.451745434,-149,-396436
"174","122","ACE-1",1545,1410.27814927252,1679.72185072748,1086,1346
"175","123","Chao1984",1095,1014.57527714668,1175.42472285332,962,1281
"176","123","ChaoBunge2002",21357,-94062.1745635868,136776.174563587,1031,796961
"177","123","ACE-1",1336,1218.10603943035,1453.89396056965,959,1193
"178","124","Chao1984",1069,989.94164522098,1148.05835477902,939,1252
"179","124","ChaoBunge2002",-3584,-7674.81470088434,506.814700884336,-308,-20459
"180","124","ACE-1",1437,1299.04433010443,1574.95566989557,974,1230
"181","125","Chao1984",805,767.948296455857,842.051703544143,745,892
"182","125","ChaoBunge2002",1327,1080.39942587025,1573.60057412975,963,1959
